comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
step15_v4_domain_balanced_public_noise_robust_vs_v3_domain_weighted,step15_v4_domain_balanced_public_noise_robust_phase4_seed_mean,step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,roc_auc,0.845938,0.904202,-0.058263,-0.054153,-0.152625,0.035828,0.281600,5000,no
step15_v4_domain_balanced_public_noise_robust_vs_v3_domain_weighted,step15_v4_domain_balanced_public_noise_robust_phase4_seed_mean,step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,average_precision,0.582864,0.715721,-0.132857,-0.116085,-0.365954,0.154725,0.376000,5000,no
step15_v4_identifier_public_noise_robust_vs_v2_identifier,step15_v4_identifier_public_noise_robust_phase4_seed_mean,step15_v2_identifier_operational_phase4_seed_mean,roc_auc,0.884594,0.882913,0.001681,0.004294,-0.030445,0.056252,0.966000,5000,no
step15_v4_identifier_public_noise_robust_vs_v2_identifier,step15_v4_identifier_public_noise_robust_phase4_seed_mean,step15_v2_identifier_operational_phase4_seed_mean,average_precision,0.726104,0.745849,-0.019745,-0.017673,-0.090098,0.055338,0.598400,5000,no
step15_v5_public_noise_weighted_strong_vs_raw_e5,step15_v5_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,roc_auc,0.904202,0.806723,0.097479,0.104193,-0.032856,0.266672,0.136400,5000,no
step15_v5_public_noise_weighted_strong_vs_raw_e5,step15_v5_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,average_precision,0.701809,0.520573,0.181235,0.171892,-0.150882,0.437015,0.225600,5000,no
step15_v5_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,roc_auc,0.904202,0.842017,0.062185,0.063115,-0.004410,0.143413,0.069200,5000,no
step15_v5_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,average_precision,0.701809,0.588995,0.112814,0.099481,-0.089036,0.260164,0.221600,5000,no
step15_v5_public_noise_weighted_strong_vs_v2_primary,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.904202,0.889636,0.014566,0.017547,-0.013718,0.070102,0.462800,5000,no
step15_v5_public_noise_weighted_strong_vs_v2_primary,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.701809,0.699299,0.002510,-0.000945,-0.095644,0.089623,0.956800,5000,no
step15_v5_public_noise_weighted_strong_vs_v3_weighted,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v3_public_noise_weighted_phase4_seed_mean,roc_auc,0.904202,0.893557,0.010644,0.012459,-0.012579,0.054733,0.545600,5000,no
step15_v5_public_noise_weighted_strong_vs_v3_weighted,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v3_public_noise_weighted_phase4_seed_mean,average_precision,0.701809,0.676713,0.025096,0.025944,-0.072215,0.192979,0.795600,5000,no
step15_v5_public_noise_weighted_strong_vs_v4_negative_mixup,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v4_public_noise_robust_phase4_seed_mean,roc_auc,0.904202,0.890756,0.013445,0.016387,-0.012903,0.066667,0.432400,5000,no
step15_v5_public_noise_weighted_strong_vs_v4_negative_mixup,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v4_public_noise_robust_phase4_seed_mean,average_precision,0.701809,0.710150,-0.008341,-0.009685,-0.089705,0.068284,0.729600,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,roc_auc,0.913725,0.806723,0.107003,0.113597,-0.019282,0.269503,0.094400,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,average_precision,0.738951,0.520573,0.218378,0.212962,-0.105231,0.485687,0.151600,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,roc_auc,0.913725,0.842017,0.071709,0.072518,0.006751,0.152423,0.031200,5000,yes
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,average_precision,0.738951,0.588995,0.149956,0.140551,-0.032434,0.304387,0.097200,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_v2_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v2_domain_balanced_phase4_seed_mean,roc_auc,0.913725,0.901401,0.012325,0.015897,-0.012943,0.062131,0.400000,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_v2_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v2_domain_balanced_phase4_seed_mean,average_precision,0.738951,0.714371,0.024580,0.033463,-0.057586,0.168206,0.569200,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_v3_domain_weighted,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,roc_auc,0.913725,0.904202,0.009524,0.009402,-0.003397,0.025356,0.176000,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_v3_domain_weighted,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v3_domain_balanced_public_noise_weighted_phase4_seed_mean,average_precision,0.738951,0.715721,0.023230,0.022237,-0.030905,0.076776,0.294400,5000,no
