step26_split,model_id,slice_name,row_count,positive_count,negative_count,roc_auc,average_precision,pr_auc,mean_score,q95_score,maximum_score,top_positive_budget_intrusion_count
internal_development_test_diagnostic_only,step15_v8_clean,direct_component_positive_plus_all_negatives,172,22,150,0.8284848484848485,0.34882269192560567,0.32556233635160386,,,,
internal_development_test_diagnostic_only,step15_v8_clean,soft_positive_plus_all_negatives,178,28,150,0.8288095238095238,0.42159979663818187,0.40780014339521303,,,,
internal_development_test_diagnostic_only,step15_v8_clean,ordinary_negative,112,0,112,,,,0.14555427528355355,0.4820149746280498,0.786649882899,11
internal_development_test_diagnostic_only,step15_v8_clean,public_contact_or_url_noise,6,0,6,,,,0.9073813413838333,0.9606635458585,0.962240420211,6
internal_development_test_diagnostic_only,step15_v8_clean,semantic_topic_not_controller,22,0,22,,,,0.055688936687499996,0.20387740650479996,0.560421226591,1
internal_development_test_diagnostic_only,step15_v8_clean,template_clone_not_controller,10,0,10,,,,0.34022524083820005,0.8629295220673998,0.92743011287,4
internal_development_test_diagnostic_only,step15_v8_contextual,direct_component_positive_plus_all_negatives,172,22,150,0.8651515151515151,0.547384682642997,0.5391645339874714,,,,
internal_development_test_diagnostic_only,step15_v8_contextual,soft_positive_plus_all_negatives,178,28,150,0.8283333333333334,0.41713551092389617,0.4035271842115396,,,,
internal_development_test_diagnostic_only,step15_v8_contextual,ordinary_negative,112,0,112,,,,0.14555427528358036,0.4820149746280498,0.786649882899,9
internal_development_test_diagnostic_only,step15_v8_contextual,public_contact_or_url_noise,6,0,6,,,,0.9073813413838333,0.9606635458585,0.962240420211,6
internal_development_test_diagnostic_only,step15_v8_contextual,semantic_topic_not_controller,22,0,22,,,,0.05568893668745454,0.20387740650479996,0.560421226591,1
internal_development_test_diagnostic_only,step15_v8_contextual,template_clone_not_controller,10,0,10,,,,0.3392879076482,0.8629295220673998,0.92743011287,4
